Duration,Count
6.0,126641
7.0,126360
8.0,121265
5.0,121203
9.0,114477
4.0,109519
10.0,107262
11.0,101348
12.0,94747
13.0,88436
3.0,85925
14.0,82242
15.0,77450
16.0,71623
17.0,67451
18.0,62719
19.0,58326
20.0,54981
2.0,53476
21.0,51778
22.0,48730
23.0,45796
24.0,43280
25.0,40968
26.0,38201
27.0,35671
28.0,33012
0.0,31629
1.0,31340
29.0,29156
5.699999809265137,27894
5.666666507720947,27849
5.933333396911621,27805
5.7833333015441895,27758
5.849999904632568,27740
5.400000095367432,27730
6.0333333015441895,27724
5.133333206176758,27714
5.616666793823242,27709
5.733333110809326,27692
5.949999809265137,27688
5.683333396911621,27684
5.116666793823242,27682
5.483333110809326,27665
5.833333492279053,27655
5.800000190734863,27651
5.766666889190674,27640
6.066666603088379,27634
5.300000190734863,27614
5.550000190734863,27610
5.983333110809326,27607
5.416666507720947,27599
5.5333333015441895,27594
5.9666666984558105,27580
5.583333492279053,27579
5.816666603088379,27577
5.183333396911621,27576
6.050000190734863,27568
5.566666603088379,27566
5.383333206176758,27559
5.75,27556
5.199999809265137,27541
5.150000095367432,27535
6.366666793823242,27535
5.883333206176758,27523
5.900000095367432,27516
5.366666793823242,27511
5.449999809265137,27509
5.316666603088379,27508
5.2166666984558105,27504
5.333333492279053,27504
6.4666666984558105,27494
5.633333206176758,27488
6.5333333015441895,27487
5.266666889190674,27486
6.199999809265137,27481
6.166666507720947,27481
5.349999904632568,27478
6.316666603088379,27478
5.5,27475
6.5,27467
5.7166666984558105,27459
6.099999904632568,27459
5.050000190734863,27456
6.133333206176758,27454
5.599999904632568,27451
5.166666507720947,27446
5.516666889190674,27441
5.916666507720947,27439
5.433333396911621,27420
6.650000095367432,27410
6.2833333015441895,27404
6.233333110809326,27392
5.650000095367432,27392
6.400000095367432,27386
6.616666793823242,27380
6.333333492279053,27370
6.383333206176758,27366
5.4666666984558105,27364
6.016666889190674,27362
6.349999904632568,27360
6.183333396911621,27357
5.866666793823242,27336
6.266666889190674,27334
5.233333110809326,27333
6.083333492279053,27322
5.25,27318
6.116666793823242,27316
6.433333396911621,27312
5.0333333015441895,27301
5.2833333015441895,27294
6.683333396911621,27284
6.666666507720947,27280
6.300000190734863,27277
6.483333110809326,27274
4.916666507720947,27269
6.150000095367432,27259
6.633333206176758,27259
6.800000190734863,27253
6.25,27250
6.2166666984558105,27249
5.083333492279053,27243
5.099999904632568,27241
6.449999809265137,27212
4.9666666984558105,27201
6.550000190734863,27177
5.016666889190674,27177
4.983333110809326,27160
6.7833333015441895,27148
5.066666603088379,27128
6.566666603088379,27111
6.699999809265137,27109
6.75,27106
6.516666889190674,27106
4.866666793823242,27098
6.583333492279053,27044
4.833333492279053,27041
6.416666507720947,27030
6.933333396911621,27012
4.849999904632568,26995
6.7166666984558105,26990
6.599999904632568,26985
4.900000095367432,26979
6.883333206176758,26942
6.816666603088379,26914
4.949999809265137,26909
6.766666889190674,26897
7.066666603088379,26873
4.933333396911621,26865
4.733333110809326,26855
6.866666793823242,26848
6.733333110809326,26813
6.949999809265137,26796
4.883333206176758,26780
4.816666603088379,26772
4.699999809265137,26766
6.833333492279053,26743
6.849999904632568,26735
7.099999904632568,26714
7.166666507720947,26691
6.916666507720947,26688
7.133333206176758,26667
6.900000095367432,26655
4.75,26644
6.9666666984558105,26637
7.050000190734863,26626
4.683333396911621,26619
4.7833333015441895,26592
7.116666793823242,26585
7.016666889190674,26583
7.083333492279053,26577
7.199999809265137,26576
7.2166666984558105,26576
6.983333110809326,26566
7.150000095367432,26564
4.766666889190674,26525
7.233333110809326,26516
4.800000190734863,26483
4.599999904632568,26476
4.633333206176758,26467
4.7166666984558105,26431
7.0333333015441895,26421
4.650000095367432,26403
7.183333396911621,26382
4.616666793823242,26351
7.266666889190674,26325
7.2833333015441895,26323
4.566666603088379,26307
7.25,26295
4.666666507720947,26284
7.449999809265137,26256
7.333333492279053,26256
7.349999904632568,26242
7.300000190734863,26227
7.316666603088379,26224
7.366666793823242,26219
4.583333492279053,26131
7.483333110809326,26123
7.383333206176758,26114
7.633333206176758,26089
7.400000095367432,26086
4.5,26076
4.5333333015441895,26070
4.550000190734863,26042
7.5333333015441895,26028
7.433333396911621,26027
7.550000190734863,26013
7.4666666984558105,25984
4.483333110809326,25966
7.516666889190674,25965
7.416666507720947,25944
4.516666889190674,25911
7.616666793823242,25905
7.683333396911621,25888
4.433333396911621,25865
7.5,25862
7.766666889190674,25836
7.583333492279053,25812
7.650000095367432,25781
7.7166666984558105,25767
7.599999904632568,25763
4.416666507720947,25755
7.733333110809326,25754
4.400000095367432,25730
4.449999809265137,25729
4.333333492279053,25701
7.699999809265137,25678
4.349999904632568,25665
7.916666507720947,25644
4.366666793823242,25625
7.566666603088379,25624
7.933333396911621,25600
7.800000190734863,25567
4.4666666984558105,25562
4.300000190734863,25518
7.7833333015441895,25517
4.383333206176758,25500
7.949999809265137,25493
7.833333492279053,25474
8.083333015441895,25465
4.316666603088379,25450
7.816666603088379,25430
7.866666793823242,25387
7.666666507720947,25368
7.900000095367432,25335
7.9666666984558105,25328
7.883333206176758,25275
4.2833333015441895,25272
7.983333110809326,25230
7.849999904632568,25221
8.149999618530273,25208
8.066666603088379,25203
7.75,25169
8.033333778381348,25151
4.233333110809326,25128
8.116666793823242,25125
8.016666412353516,25110
4.266666889190674,25083
8.100000381469727,25078
8.050000190734863,25024
4.25,25010
4.183333396911621,24981
8.25,24967
8.316666603088379,24926
4.199999809265137,24901
8.266666412353516,24893
8.216666221618652,24879
4.2166666984558105,24872
4.150000095367432,24845
8.350000381469727,24829
8.133333206176758,24826
8.183333396911621,24799
8.233333587646484,24774
4.166666507720947,24766
8.166666984558105,24748
8.199999809265137,24690
4.099999904632568,24690
4.116666793823242,24659
8.300000190734863,24633
8.283333778381348,24621
8.333333015441895,24596
8.433333396911621,24587
4.133333206176758,24569
4.083333492279053,24555
8.416666984558105,24539
4.050000190734863,24524
8.399999618530273,24522
4.066666603088379,24466
8.383333206176758,24434
4.016666889190674,24409
8.449999809265137,24409
8.366666793823242,24368
4.0333333015441895,24360
3.9666666984558105,24296
8.516666412353516,24291
8.483333587646484,24244
3.9833333492279053,24239
8.533333778381348,24196
8.583333015441895,24194
8.466666221618652,24162
8.5,24162
8.683333396911621,24145
8.633333206176758,24127
8.666666984558105,24113
8.566666603088379,24082
3.950000047683716,24052
8.733333587646484,24024
8.766666412353516,23995
8.550000190734863,23992
8.600000381469727,23990
3.933333396911621,23981
8.716666221618652,23936
8.783333778381348,23838
8.649999618530273,23825
3.9000000953674316,23818
8.75,23801
8.699999809265137,23778
3.883333444595337,23772
8.800000190734863,23764
8.916666984558105,23756
8.616666793823242,23732
3.9166667461395264,23623
8.833333015441895,23604
8.949999809265137,23583
3.8333332538604736,23558
3.8499999046325684,23555
8.850000381469727,23524
8.816666603088379,23506
30.0,23470
8.966666221618652,23469
3.866666555404663,23443
9.033333778381348,23388
8.933333396911621,23372
8.866666793823242,23363
8.899999618530273,23346
8.883333206176758,23327
9.083333015441895,23305
9.100000381469727,23288
3.7666666507720947,23270
8.983333587646484,23228
9.199999809265137,23158
9.066666603088379,23102
3.799999952316284,23069
3.816666603088379,23037
9.050000190734863,23019
9.133333206176758,22998
9.166666984558105,22991
9.016666412353516,22981
9.149999618530273,22979
9.183333396911621,22963
9.333333015441895,22942
9.116666793823242,22940
3.7833333015441895,22888
9.25,22878
9.216666221618652,22842
3.75,22841
9.300000190734863,22834
9.350000381469727,22830
3.7166666984558105,22798
3.700000047683716,22787
9.283333778381348,22784
9.233333587646484,22762
9.316666603088379,22734
3.683333396911621,22727
9.366666793823242,22721
