,count,avg_mins
count,66986.0,66986.0
mean,54.79667393186636,30.337949996996013
std,147.8222203638724,40.86042869574123
min,1.0,1.6880208333333333
25%,3.0,16.209211366538952
50%,13.0,23.383333333333333
75%,51.0,33.11170634920635
max,8024.0,1439.1666666666667
