LONGITUDE,LATITUDE,COUNT,TERMINAL
-77.00493,38.89696,412433,31623
-77.0444,38.9101,393051,31200
-77.0494365,38.888255,302174,31258
-77.03442692756653,38.909800626551906,291437,31201
-77.032427,38.8885525,280733,31247
-77.032096,38.917764500000004,231443,31101
-77.038252,38.915544,231266,31229
-77.0325,38.9059,229327,31241
-76.99473559856416,38.884260087971725,222406,31613
-77.0387,38.9121,221519,31214
-77.04258100000001,38.922925,192286,31104
-77.0323,38.9086,189453,31203
-77.02308599999999,38.8997,188628,31228
-77.009888,38.897446,185740,31624
-77.01902700000001,38.903040000000004,182482,31600
-77.02869399999999,38.888774,178772,31248
-77.0446,38.9154,178537,31110
-77.037413,38.879819,178134,31249
-77.03335404396056,38.89903234416315,170125,31222
-77.03200799999999,38.913046,167558,31202
-77.005483,38.905696999999996,163653,31603
-77.04731762409209,38.90571079190728,163528,31212
-77.0221906900406,38.89728304853854,162781,31232
-77.03542068600655,38.92612422246211,158906,31103
-77.0315,38.9308,153604,31602
-77.03863,38.90276,152623,31213
-77.027869,38.898364,147533,31230
-77.01770067214966,38.88637194054526,145897,31243
-77.053485,38.903827,145857,31237
-77.02226999999999,38.905737,138511,31223
-76.988355,38.890461,134001,31619
-77.03980207443237,38.90599569999115,131291,31239
-77.056887,38.905126,130489,31246
-77.04644858837128,38.90071062547464,130083,31205
-77.0178975,38.876697,129202,31108
-77.031617,38.894514,128532,31231
-77.0322,38.9268,128384,31105
-77.026013,38.893028,128162,31219
-77.0222,38.9155,128145,31109
-77.027822,38.929464,126550,31102
-77.02224100000001,38.886266,124457,31218
-77.032278,38.898409,124093,31238
-77.048911,38.90088,123965,31257
-77.001949,38.900412,122408,31616
-77.0259,38.9172,121408,31111
-77.0388,38.9319,119509,31107
-77.038322,38.902060999999996,118372,31233
-77.04177886247633,38.905066874553135,117454,31221
-77.02824175357819,38.886276945065106,116568,31217
-77.06269,38.90375,116338,31225
-77.000349,38.889955,116141,31618
-77.04478,38.908905,115517,31234
-76.996806,38.886952,112951,31610
-77.04061999999999,38.917761,112036,31116
-77.018677,38.900929999999995,111345,31265
-77.0436,38.8923,111301,31235
-77.022155,38.912719,111057,31245
-77.027313,38.9055785,110648,31266
-77.019347,38.897222,109063,31620
-77.013917,38.892275,107563,31271
-77.029822,38.900283,104998,31227
-77.05914150000001,38.902314000000004,104608,31215
-77.038359,38.908142,101975,31267
-77.04656999999999,38.88412,100460,31240
-77.0135,38.9126,100320,31503
-77.017445,38.88412,99977,31244
-77.041539,38.89968,99411,31242
-77.0023,38.8851,99204,31605
-76.987633,38.894832,96073,31622
-77.045,38.8963,95644,31204
-76.98825001716614,38.90042673988099,94923,31611
-77.00572729110719,38.878854378063295,94279,31628
-77.047637,38.923203,93881,31106
-77.031686,38.899632000000004,93541,31216
-77.015289,38.899408,93390,31604
-77.012289,38.915417,92069,31506
-77.04157099999999,38.918809,91898,31114
-77.071652,38.907740000000004,91460,31236
-76.99591577053069,38.894840642470754,90391,31612
-77.028139,38.916787,89660,31268
-77.04368000000001,38.920669000000004,88874,31113
-77.02418088912964,38.9366839345886,88422,31400
-77.050046,38.923583,87620,31121
-77.02622,38.9024,86148,31263
-77.0424520969391,38.90374145091938,85434,31224
-77.0284,38.903819,85200,31251
-77.070993,38.897315,84937,31014
-76.998347,38.899972,82743,31615
-77.0429,38.9003,82532,31100
-77.013769,38.886978000000006,82289,31272
-77.03353,38.902,81996,31254
-77.0021304488182,38.90546971494327,81646,31627
-77.00195500000001,38.887378000000005,81006,31269
-77.026064,38.895914000000005,77616,31256
-77.01994,38.894573,76705,31264
-77.031887,38.921074,75865,31119
-77.05152,38.9066,75818,31255
-77.03973233699799,38.89828294952361,73580,31277
-77.046587,38.894919,73426,31220
-77.05113172531128,38.857404962615036,70911,31007
-77.02324,38.894851,70584,31270
-76.9862,38.8803,70383,31606
-77.0352,38.92333,69143,31117
-77.0037,38.8763,68071,31208
-76.98790669441223,38.882915484767615,67771,31607
-77.041834,38.912648,65536,31278
-76.991383,38.899983,64147,31614
-77.02379465103151,38.92812111132096,63355,31115
-77.0328,38.9375,62584,31401
-77.01610600000001,38.895344,62305,31621
-77.04938299999999,38.890539000000004,62128,31289
-77.001828,38.881184999999995,61424,31625
-77.026975,38.897857,60801,31262
-77.02277,38.908640000000005,60417,31281
-77.046564,38.901539,58951,31252
-77.00495,38.910971999999994,57901,31505
-77.079382,38.947607,57611,31303
-77.04337,38.902204,56361,31253
-77.04656700000001,38.892459,56191,31261
-77.063586,38.90849,56126,31312
-77.051084,38.901755,56095,31275
-77.0172465,38.8904955,56014,31288
-77.049882,38.896104,54973,31260
-77.057979,38.934267,53742,31305
-77.044789,38.903584,53379,31250
-76.994749,38.897273999999996,52859,31631
-77.072755,38.934881,52168,31302
-76.98356899999999,38.88732,51918,31626
-77.055599,38.930282,49859,31307
-77.017669,38.912659000000005,49233,31509
-77.034918,38.903649,48999,31276
-77.0682,38.916441999999996,48695,31226
-76.995193,38.889988,47064,31629
-77.0024,38.875009999999996,46823,31634
-77.072305,38.8946,45460,31015
-77.063896,38.944551000000004,45281,31300
-76.9953,38.8792,45256,31608
-77.02305436134337,38.87869359939696,44759,31609
-77.0436,38.8952,44690,31206
-77.038325,38.888096999999995,43821,31290
-77.077271,38.922649,43302,31306
-77.0846,38.891696,43138,31017
-77.01536044478415,38.90733256111448,43107,31636
-77.01597,38.917621999999994,42692,31118
-77.11176800000001,38.881044,41869,31037
-77.02623546123505,38.89824328774852,41077,31274
-77.008911,38.899703,39563,31637
-77.0222,38.9249,38659,31207
-77.05556999999999,38.897293,38435,31211
-77.012108,38.900358000000004,38409,31638
-77.0251,38.9418,38359,31404
-77.06752850000001,38.9037315,38089,31314
-77.103148,38.882788,37997,31024
-77.070334,38.922581,37873,31304
-77.052808,38.814577,37661,31047
-77.0057,38.8743,37632,31209
-76.983326,38.889908,37470,31630
-77.025762,38.887312,37329,31633
-76.982872,38.900413,37232,31617
-76.9769,38.8896,36923,31601
-77.09525674581528,38.88701007722296,35552,31022
-77.051514,38.848465999999995,35247,31009
-77.059936,38.862303000000004,35208,31005
-77.04923199999999,38.856425,35147,31002
-77.027025,38.913761,35021,31280
-77.087171,38.938736,34529,31301
-76.9941,38.90509,34111,31508
-77.025672,38.920387,33988,31120
-77.071301,38.889920000000004,33548,31077
-77.049723,38.852928999999996,33310,31011
-76.983575,38.897195,33241,31632
-77.00366600000001,38.89967,33103,31639
-77.084801,38.890612,32902,31089
-77.043182,38.898412,31419,31279
-77.032224,38.928552,30710,31124
-77.003135,38.894971999999996,29434,31641
-77.000648,38.919077,29318,31500
-77.049417,38.861056,29205,31003
-77.043358,38.927872,29171,31112
-77.076389,38.893438,29167,31016
-77.060626745224,38.80576284873485,28613,31048
-77.08900600000001,38.89593,28490,31030
-77.0502,38.8426,27042,31010
-77.004746,38.918155,26564,31513
,,26091,31008
-77.0633,38.8637,25955,31006
-77.107854,38.880012,25602,31039
-77.045128,38.894721999999994,25500,31259
-77.016855,38.975219,25397,31408
-76.987211,38.903732,24947,31512
-77.048728,38.909394,24635,31285
-77.03173699999999,38.903658,24553,31283
-77.036278,38.912652,24551,31282
-77.069956,38.955016,24003,31310
-77.043363,38.804718,23977,31042
-77.02714,38.908429999999996,23941,31286
-76.992889,38.932514000000005,23740,31504
-77.0889,38.8904,23633,31020
-77.09308,38.8881,23414,31021
-77.0326781272888,38.94247535560285,23240,31406
-77.03023,38.878433,23100,31273
-77.09774499999999,38.885801,22883,31023
-77.077078,38.943837,22525,31308
-76.99707,38.907908,22334,31517
-76.9927856326103,38.8962260397813,21519,31640
-77.086502,38.896923,20650,31029
-77.012457,38.928743,20323,31507
-77.08095,38.89054,20238,31031
-77.10936600000001,38.882629,19822,31034
-77.0925,38.889,19440,31019
-77.012365,38.908643,19352,31519
-77.05332,38.85725,19211,31001
-77.079375,38.892164,19136,31018
-77.03625,38.928893,18572,31122
-76.9955,38.9346,18114,31502
-77.032375,38.925284000000005,17775,31123
-77.032818,38.947774,17564,31402
-77.05341160297394,38.854380515177496,17328,31013
-77.10773499999999,38.876393,16954,31035
-77.005965,38.884916,16945,31643
-77.034449,38.9190185,16737,31125
-77.086063,38.893237,16487,31028
-77.05949,38.857865999999994,16446,31004
-77.10783,38.88397,16202,31025
-77.093485,38.884734,15886,31026
-77.040363,38.803124,15456,31041
-77.032947,38.956432,15415,31407
-77.049883,38.805316999999995,15329,31044
-77.05152,38.850688,15317,31012
-77.061977237463,38.94113915653008,15031,31313
-77.033234,38.892244,14970,31321
-77.094537,38.984691,14655,32048
-76.995876,38.920682,14287,31516
-77.07857,38.893993,14114,31027
-77.080851,38.897612,14052,31080
-77.04154399999999,38.893511,14017,31284
-76.99446800000001,38.876737,13701,31635
-77.10108000000001,38.884615999999994,13689,31040
-77.04463273286821,38.81074147938705,13317,31043
-77.03445106744765,38.901136451737045,13268,31291
-77.1207,38.87887,13240,31036
-77.085998,38.961763,12958,32014
-77.077294,38.889365000000005,12232,31051
-77.113905,38.883669,12208,31049
-77.116817,38.883921,11908,31038
-77.08596,38.880705,11781,31065
-77.107906,38.871821999999995,11454,31069
-77.05323,38.858971000000004,11387,31000
-77.08776999999999,38.884961,11345,31050
-77.027333,38.949662,11325,31405
-77.10098862648009,38.850336577884455,11280,31033
-77.063562,38.802677,11161,31084
-77.09169,38.894940999999996,10806,31079
-77.02601015567778,38.88432272414662,10773,31287
-76.991016,38.933668,10746,31501
-76.990955,38.928644,10446,31511
-77.006472,38.977933,10424,32026
-76.997194,38.927496999999995,10347,31514
-77.097426,38.981103000000004,10344,32002
-77.050537,38.844015,10277,31052
-77.05293,38.805648,10245,31045
-77.089555,38.84232,10145,31060
-77.065149,38.905368,9715,31295
-77.103381,38.964991999999995,9524,32046
-77.034674,38.905424,9513,31298
-77.048947,38.892441,9499,31292
-76.994637,38.862669,9389,31801
-77.08031899999999,38.863833,9054,31053
-77.01981425285341,38.95655554772196,8907,31403
-77.04564,38.912644,8231,31299
-77.040787,38.924088,8216,31296
-77.078317,38.898984000000006,8191,31093
-76.974828,38.894474,8058,31712
-77.063275,38.859254,8033,31091
-77.050264,38.905303,8028,31128
-77.047494,38.82175,7900,31083
-77.082426,38.954812,7660,31309
-76.9984048604965,38.90293157359119,7643,31645
-76.988039,38.867373,7614,31802
-77.027112,38.925636,7596,31126
-77.058541,38.82595,7563,31086
-77.01120999999999,38.975,7548,32025
