TERMINAL,END TOTAL BIKER COUNT,LATITUDE,LONGITUDE,START TOTAL BIKER COUNT,NAME
31200,439746,38.9101,-77.0444,393051,Massachusetts Ave & Dupont Circle NW
31623,424648,38.89696,-77.00493,412433,Columbus Circle / Union Station
31201,320999,38.909800626551906,-77.03442692756653,291437,15th & P St NW
31258,300727,38.888255,-77.0494365,302174,Lincoln Memorial
31247,289246,38.8885525,-77.032427,280733,Jefferson Dr & 14th St SW
31101,248597,38.917764500000004,-77.032096,231443,14th & V St NW
31229,231134,38.915544,-77.038252,231266,New Hampshire Ave & T St NW
31214,229955,38.9121,-77.0387,221519,17th & Corcoran St NW
31241,218691,38.9059,-77.0325,229327,Thomas Circle
31613,217264,38.884260087971725,-76.99473559856416,222406,Eastern Market Metro / Pennsylvania Ave & 7th St SE
31228,214308,38.8997,-77.02308599999999,188628,8th & H St NW
31203,198596,38.9086,-77.0323,189453,14th & Rhode Island Ave NW
31624,194004,38.897446,-77.009888,185740,North Capitol St & F St NW
31600,192149,38.903040000000004,-77.01902700000001,182482,5th & K St NW
31248,185904,38.888774,-77.02869399999999,178772,Smithsonian-National Mall / Jefferson Dr & 12th St SW
31249,181237,38.879819,-77.037413,178134,Jefferson Memorial
31202,180965,38.913046,-77.03200799999999,167558,14th & R St NW
31232,180372,38.89728304853854,-77.0221906900406,162781,7th & F St NW / National Portrait Gallery
31222,177411,38.89903234416315,-77.03335404396056,170125,New York Ave & 15th St NW
31110,177363,38.9154,-77.0446,178537,20th St & Florida Ave NW
31212,175404,38.90571079190728,-77.04731762409209,163528,21st & M St NW
31603,169074,38.905696999999996,-77.005483,163653,1st & M St NE
31213,166485,38.90276,-77.03863,152623,17th & K St NW
31104,162280,38.922925,-77.04258100000001,192286,Adams Mill & Columbia Rd NW
31230,162234,38.898364,-77.027869,147533,Metro Center / 12th & G St NW
31243,161329,38.88637194054526,-77.01770067214966,145897,4th & C St SW
31246,159754,38.905126,-77.056887,130489,M St & Pennsylvania Ave NW
